"0","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー"
"KONOSUBA_BLUE","@KONOSUBA_BLUE","アクアブルー @KONOSUBA_BLUE 最近フォローといいねが外されてしまいます再フォロー・再いいねでご迷惑をお掛けしますがよろしくお願いいたします水樹奈々、TrySail、雨宮天推しです御朱印巡りを楽しんでいます。アニメは｢このすば｣が好きですスニーカー集め・ディズニーも好きです。無言フォロー失礼しますDM","去年頂いた縁むすび御朱印帳と並べてみました  縁むすび御朱印帳と一緒に頂ける限定御朱印も新色  縁むすび御朱印帳は見開き御朱印の保管に最高の御朱印帳です  さくら御朱印の特別細工もステキなデザインでした  縁結び祈願祭の案内  #渋谷氷川神社  #縁結び","1452 ","299","70","1"
"boardman199997","@boardman199997","あねさんのポジティブ呟き広場 @boardman199997 今まで、うつから生還したり、学業の指導をしてきた経験から、わかりやすくポジティブな呟き発信ポジティブパワーで無限の可能性を掴もう 塾講師家庭教師/高校教師地方予備校講師経験/通信制ｻﾎﾟｰﾄ校指導経験/うつ経験(←でも復活)/Kin255/","あなたが 経験したくなる知識さんと  あなたが 活かしたくなる叡智さんの  すべてを あなたの手の上に","2255 ","56","6","0"
"katiuma889","@katiuma889","夜空 @katiuma889 散歩道で 多摩川の四季などを パシャパシャしてます お時間あれば見て行って 下さいネ","朝のご挨拶 おはようございます 木曜日です 暖かくなってきて 花粉も飛んでますね ヤレヤレです 今日も１日 程々に頑張って 行きましょ スモモ(李)です 花言葉は「甘い生活」","1.3万 ","720","173","17"
"Aosaki_0826","@Aosaki_0826","ゆう@元不登校 @Aosaki_0826 【元不登校(20)】地方国立大(理系)に通っています 中1～高2の5年間不登校/1浪で偏差値42→56/関関同立、地方国立に合格 筋トレ歴2年/筋トレで鬱抜け/鶏ガラ→微マッチョ 不登校の生活や心の中について発信しています 子供の不登校で悩んでいる親を支えたい","不登校は運動、趣味、ゲームなど没頭できるものが多い方がいいです。  不登校は楽しいからではなく、現実逃避して気力を回復するために長時間ゲームをやり続けています。  没頭する選択肢を増やした結果としてゲーム時間が減るのは良い事ですが、ゲームを制限するだけでは回復が遅れるだけです。","4297 ","635","81","10"
"-","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"gerogeroR","@gerogeroR","もへもへ @gerogeroR 洋ゲーマニアで世界史マニアでオカルトマニア。政治的には生まれてずっと共産党に票をほりこんでるのになぜか集団自衛権とか賛成で共産党の考えと真逆だったりします。実はあんまり政治思想はないです。","とりあえずは話が通じそうな政権だし友好ムードはつくっとかないと。","10.4万 ","944","392","76"
"-","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"rirarinrin12","@rirarinrin12","??????…*.ﾟ @rirarinrin12 Rinrinの写真垢ですOLYMPUSPENｵｰﾙﾄﾞﾚﾝｽﾞ花・自然・空・猫・犬・鉄道・ｷﾗｷﾗ･ｶﾜｲｲ・美しいものが好き#写真好きな人と繋がりたい #お花好きな人と繋がりたい本垢 @7725rirarin 素敵な方無言ﾌｫﾛｰ失礼します ※DM× 巻込み×  会話は本垢のみです","??????*.ﾟ     おはようございます     いつもありがとうございます    今週もよろしくお願いいたします ????","2638 ","435","841","144"
"7000sal","@7000sal","だいご@FB冨永大悟 @7000sal あなたの潜在能力を引き出す超透視能力アカデミー主催 透視能力を身につければ人生は激変。運を呼び未来を創る。 プロフィールhttp://daigo-t.net/purofiru/ ☆プログラミングマンツーマンレッスン http://bit.ly/3RCYbI8 幸運体質になるフィッシングガイド http://bit.ly/36wEejD","神秘の補助食品『ムミョー』 「ムミョー」とは『体を病気から守るもの』という意味 判っているだけでも３０種類以上の微量ミネラルが含まれている貴重な補助食品です セサミンで知られる日本の有名な冒険家も飲んでます アメブロ見てね！ https://amba.to/3ZdG1Ak #生命力 #サプリメント #ミネラル","4249 ","131","46","0"
"-","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"redpino346","@redpino346","レッドピノ＠Thank you as always @redpino346 妻といることが幸せみなさんと繋がれていることが幸せ当たり前の毎日が幸せ あなたの夢と幸せを応援したい 人に優しく寄り添える人になりたい 仲良くして下さい #相互フォロー","過ぎたことを悔やむでも、先のことを心配しすぎるのでもなく、「今」この瞬間に焦点を当てて、今できることは何か？を考えましょう。そうすると、その積み重ねで未来が拓けてきます","1.2万 ","152","20","4"
"-","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"Yura10moon","@Yura10moon","???? ?? ?? ゆら月*.｡ゆっくり浮上 @Yura10moon 花・空・風景・猫???好き撮影は??????とミラーレス???????  ??マイペース??写真無断転載引用??  巻き込み??","? ? ??    福寿草     幸せを招く?         ???????????  おはようございます  素敵な水曜日に  なりますように???*. (*-ω人)  ?.｡.:*・ﾟ ?.｡.:*・ﾟ?.｡.:*・ﾟ","1993 ","739","837","198"
"-","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"saya_CRO","@saya_CRO","佐谷【恋愛美容】 @saya_CRO 恋愛や美しくなるための美容について言葉で伝える。悩み相談600件以上。(受け切れない為、閉鎖)悩みの解決方法を載せてるhttps://note.com/satani","オードリー若林さんが「一瞬で自分が被害者になれる言葉を使うやつ嫌いなんだよね」って言ってた！この人は信頼できる人だなと思った！","21.1万 ","979","32","1"
"-","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"yuki_money_con","@yuki_money_con","ゆうき|固ツイでプレゼント @yuki_money_con 収入に悩むあなたに翼をさずける|YMCA代表|マーケ歴10年| 会社の倒産、家族の病を乗り越えコンテンツ販売で7桁 | Kindle11冊出版ベストセラー| 忙しい毎日に追われない自由な時間と心の余裕が作れる教科書固ツイにて限定配布中|サブ→ @yuki_content","3月19日 (日) 6時～開始します!｜ゆうき|じぶん資産をさずける  @yuki_money_con  #ad #おは戦50316mm","7946 ","62","32","1"
